,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-other_fossil_fuels
44,3400.0,3140.0,4165.0,2721.0,83.0,274.0,21.0
45,3360.0,3166.0,4174.0,2721.0,81.0,275.0,21.0
46,3369.0,3126.0,4159.0,2720.0,79.0,270.0,21.0
47,3435.0,3082.0,4132.0,2720.0,77.0,270.0,21.0
48,3459.0,3052.0,4156.0,2720.0,79.0,274.0,20.0
49,3457.0,3076.0,4178.0,2718.0,79.0,274.0,4.0
50,3465.0,3093.0,4189.0,2719.0,78.0,273.0,3.0
51,3473.0,3097.0,4196.0,2718.0,78.0,273.0,3.0
52,3434.0,3129.0,4203.0,2719.0,76.0,273.0,3.0
53,3383.0,3201.0,4214.0,2719.0,73.0,274.0,3.0
54,3434.0,3201.0,4223.0,2721.0,77.0,273.0,3.0
55,3511.0,3196.0,4238.0,2718.0,75.0,271.0,3.0
56,3539.0,3214.0,4247.0,2719.0,74.0,272.0,3.0
57,3538.0,3223.0,4240.0,2719.0,77.0,264.0,3.0
58,3516.0,3228.0,4243.0,2720.0,79.0,269.0,3.0
59,3544.0,3212.0,4236.0,2720.0,84.0,265.0,3.0
60,3586.0,3190.0,4217.0,2719.0,85.0,260.0,3.0
61,3578.0,3198.0,4234.0,2718.0,90.0,262.0,3.0
62,3566.0,3228.0,4250.0,2719.0,94.0,260.0,3.0
63,3563.0,3248.0,4255.0,2720.0,100.0,264.0,3.0
64,3566.0,3265.0,4254.0,2717.0,106.0,264.0,5.0
65,3553.0,3274.0,4256.0,2718.0,115.0,267.0,19.0
66,3531.0,3275.0,4252.0,2719.0,119.0,267.0,19.0
67,3561.0,3233.0,4246.0,2718.0,124.0,265.0,18.0
68,3551.0,3267.0,4261.0,2719.0,123.0,268.0,18.0
69,3590.0,3256.0,4258.0,2719.0,122.0,267.0,18.0
70,3634.0,3229.0,4258.0,2718.0,127.0,265.0,18.0
71,3606.0,3216.0,4347.0,2719.0,125.0,268.0,18.0
72,3510.0,3184.0,4430.0,2718.0,123.0,266.0,18.0
73,3506.0,3175.0,4440.0,2718.0,127.0,265.0,18.0
74,3510.0,3215.0,4449.0,2719.0,129.0,264.0,18.0
75,3521.0,3219.0,4469.0,2717.0,135.0,262.0,19.0
76,3489.0,3238.0,4492.0,2719.0,146.0,258.0,19.0
77,3497.0,3262.0,4503.0,2718.0,161.0,259.0,19.0
78,3493.0,3262.0,4505.0,2718.0,164.0,257.0,19.0
79,3488.0,3268.0,4507.0,2717.0,162.0,256.0,19.0
80,3498.0,3287.0,4517.0,2717.0,160.0,255.0,19.0
81,3516.0,3328.0,4560.0,2717.0,153.0,253.0,19.0
82,3505.0,3355.0,4585.0,2717.0,153.0,254.0,19.0
83,3580.0,3366.0,4630.0,2719.0,150.0,254.0,19.0
84,3719.0,3365.0,4662.0,2720.0,152.0,254.0,9.0
85,3756.0,3387.0,4664.0,2718.0,144.0,253.0,3.0
86,3807.0,3430.0,4669.0,2716.0,140.0,251.0,3.0
87,3804.0,3457.0,4681.0,2715.0,141.0,249.0,3.0
88,3819.0,3474.0,4685.0,2716.0,140.0,252.0,3.0
89,3760.0,3511.0,4686.0,2715.0,140.0,249.0,3.0
