,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
368,1582.0,4393.0,239.0,3066.0,2.0,492.0,2784.0
369,1582.0,4392.0,239.0,2957.0,2.0,503.0,2814.0
370,1584.0,4393.0,238.0,2957.0,2.0,517.0,2808.0
371,1584.0,4395.0,238.0,3020.0,2.0,505.0,2787.0
372,1584.0,4394.0,238.0,3079.0,2.0,489.0,2747.0
373,1585.0,4392.0,237.0,3122.0,2.0,487.0,2746.0
374,1584.0,4394.0,239.0,3133.0,2.0,495.0,2776.0
375,1585.0,4395.0,238.0,3041.0,2.0,499.0,2835.0
376,1584.0,4395.0,237.0,2998.0,2.0,494.0,2833.0
377,1585.0,4394.0,236.0,3038.0,2.0,477.0,2799.0
378,1584.0,4395.0,234.0,3072.0,2.0,465.0,2798.0
379,1585.0,4393.0,240.0,3114.0,2.0,455.0,2824.0
380,1586.0,4396.0,239.0,3133.0,2.0,443.0,2848.0
381,1585.0,4393.0,239.0,3141.0,2.0,430.0,2861.0
