,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
901,48.0,68.0,18.0
902,57.0,65.0,22.0
903,57.0,65.0,22.0
904,45.0,50.0,21.0
905,45.0,50.0,21.0
906,29.0,44.0,20.0
907,29.0,44.0,20.0
908,18.0,19.0,13.0
909,18.0,19.0,13.0
910,22.0,18.0,7.0
911,22.0,18.0,7.0
912,33.0,19.0,11.0
913,33.0,19.0,11.0
914,47.0,18.0,13.0
915,47.0,18.0,13.0
916,68.0,19.0,7.0
917,68.0,19.0,7.0
918,102.0,21.0,6.0
919,102.0,21.0,6.0
920,87.0,8.0,8.0
921,87.0,8.0,8.0
922,53.0,21.0,9.0
923,53.0,21.0,9.0
924,35.0,18.0,0.0
925,35.0,18.0,0.0
926,0.0,12.0,0.0
927,0.0,12.0,0.0
928,0.0,11.0,0.0
929,0.0,11.0,0.0
930,0.0,13.0,3.0
931,0.0,13.0,3.0
932,0.0,27.0,16.0
933,0.0,27.0,16.0
934,0.0,18.0,16.0
935,0.0,18.0,16.0
936,15.0,2.0,0.0
937,15.0,2.0,0.0
938,15.0,0.0,0.0
939,15.0,0.0,0.0
940,1.0,6.0,0.0
941,1.0,6.0,0.0
942,9.0,18.0,3.0
943,9.0,18.0,3.0
944,9.0,21.0,3.0
945,9.0,21.0,3.0
946,9.0,26.0,10.0
947,9.0,26.0,10.0
948,7.0,24.0,18.0
949,7.0,24.0,18.0
950,4.0,28.0,18.0
951,4.0,28.0,18.0
952,8.0,24.0,21.0
953,8.0,24.0,21.0
954,19.0,24.0,34.0
955,19.0,24.0,34.0
956,18.0,36.0,33.0
957,18.0,36.0,33.0
958,21.0,47.0,26.0
959,21.0,47.0,26.0
960,21.0,46.0,26.0
961,21.0,46.0,26.0
962,18.0,51.0,21.0
963,18.0,51.0,21.0
964,24.0,43.0,9.0
965,24.0,43.0,9.0
