,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
156,777.3709,1390.3357,1843.2178,450.3514,2263.0967,6357.968,830.9269,20882.579699999995,1294.3013,2724.1904,1232.0872,1718.7334
157,777.3709,1390.3357,1843.2178,450.3514,2263.0967,6357.968,830.9269,20882.579699999995,1294.3013,2724.1904,1232.0872,1718.7334
158,767.7313,1371.2585,1825.1418,440.2513,2268.6477,6325.1396,832.4661,20756.685500000003,1297.2802,2709.6902,1212.9138,1706.165
159,771.9432,1380.4912,1835.8325,437.9882,2237.743,6312.6714,832.032,20697.5471,1285.2812,2686.542,1213.7573,1703.2651
160,774.6915,1355.0697,1812.0271,432.2876,2266.628,6316.6763,833.3336,20657.6174,1278.0251,2677.1382,1202.9062,1708.8341
161,762.8216,1390.4902,1808.2593,437.5337,2273.363,6280.738,822.0426,20626.8277,1278.7325,2663.7808,1220.2805,1688.7855
162,758.9642,1367.7266,1817.1149,443.8413,2269.373,6275.9805,821.5017,20575.455,1272.7788,2663.2168,1204.6162,1680.341
163,752.5994,1357.8545,1801.2083,430.0913,2206.0986,6254.701,818.6271,20391.9112,1259.6951,2631.8853,1208.9799,1670.1707
164,767.6368,1344.5948,1796.4636,441.7901,2189.4624,6230.9043,832.2402,20333.446799999998,1248.7048,2620.863,1195.9523,1664.8345
165,762.736,1357.1467,1771.3348,434.6397,2184.1301,6218.115,837.7645,20277.5786,1252.4639,2611.48,1179.9636,1667.8043
166,760.4055,1339.5286,1786.5618,424.9034,2222.153,6195.6045,821.6898,20235.188299999998,1240.4757,2597.21,1187.687,1658.969
167,760.4055,1339.5286,1786.5618,424.9034,2222.153,6195.6045,821.6898,20235.188299999998,1240.4757,2597.21,1187.687,1658.969
168,760.4055,1339.5286,1786.5618,424.9034,2222.153,6195.6045,821.6898,20235.188299999998,1240.4757,2597.21,1187.687,1658.969
169,741.9446,1323.9381,1747.6202,430.2929,2203.3677,6162.119,820.2049,20032.416,1221.9115,2571.189,1169.9387,1639.8894
170,726.092,1325.9137,1751.9841,424.5929,2202.8647,6147.1494,822.7119,20004.6885,1226.1833,2563.7188,1179.0217,1634.456
171,730.1852,1320.2213,1763.9573,416.246,2191.7656,6143.9927,834.3317,19969.3724,1222.4805,2549.6013,1163.8927,1632.6981
172,732.7369,1297.8989,1767.6466,426.1875,2179.5205,6105.7944,817.0233,19884.7896,1214.0978,2539.8435,1179.2449,1624.7953
173,738.8912,1310.6843,1744.083,420.0132,2196.638,6061.408,807.3538,19788.117599999998,1209.6567,2533.958,1158.0092,1607.4222
